rank,name_russian,name_english,name_original,film_url,country,production_year,soviet_release_year,viewers_total,avg_ticket_price_rub,box_office_rubles
1,Смелые люди,,,https://www.kino-teatr.ru/kino/movie/sov/6551/annot/,,1950,1950,41200000,0.25,10300000.00
2,Кубанские казаки,,,https://www.kino-teatr.ru/kino/movie/sov/3351/annot/,,1949,1950,40600000,0.25,10150000.00
3,Падение Берлина,,,https://www.kino-teatr.ru/kino/movie/sov/4958/annot/,,1949,1950,36200000,0.25,9050000.00
4,У них есть Родина,,,https://www.kino-teatr.ru/kino/movie/sov/7365/annot/,,1949,1950,21900000,0.25,5475000.00
5,Дитя Дуная,,,https://www.kino-teatr.ru/kino/movie/euro/31604/annot/,Австрия,1949,1950,20900000,0.25,5225000.00
6,Заговор обречённых,,,https://www.kino-teatr.ru/kino/movie/sov/2344/annot/,,1950,1950,19200000,0.25,4800000.00
7,Секретная миссия,,,https://www.kino-teatr.ru/kino/movie/sov/6320/annot/,,1950,1950,19000000,0.25,4750000.00
8,Граф Монте-Кристо,,,https://www.kino-teatr.ru/kino/movie/euro/74834/annot/,Италия,1943,1950,14900000,0.25,3725000.00
9,Огонь,,,https://www.kino-teatr.ru/kino/movie/euro/18847/annot/,Венгрия,1948,1950,13500000,0.25,3375000.00
10,Человек в железной маске,,,https://www.kino-teatr.ru/kino/movie/hollywood/60390/annot/,США,1939,1950,12400000,0.25,3100000.00
11,Алитет уходит в горы,,,https://www.kino-teatr.ru/kino/movie/sov/191/annot/,,1949,1950,10800000,0.25,2700000.00
12,Чёртово ущелье,,,https://www.kino-teatr.ru/kino/movie/euro/84170/annot/,Польша,1949,1950,10600000,0.25,2650000.00
13,Три встречи,,,https://www.kino-teatr.ru/kino/movie/sov/7249/annot/,,1948,1950,8900000,0.25,2225000.00
14,Скандал в Клошмерле,,,https://www.kino-teatr.ru/kino/movie/euro/58498/annot/,Франция,1948,1950,8600000,0.25,2150000.00
15,Венские девушки,,,https://www.kino-teatr.ru/kino/movie/euro/45387/annot/,Австрия,1949,1950,8200000,0.25,2050000.00
16,Паяцы,,,https://www.kino-teatr.ru/kino/movie/euro/98303/annot/,Италия,1948,1950,7800000,0.25,1950000.00
17,Свадьба Фигаро,,,https://www.kino-teatr.ru/kino/movie/euro/102799/annot/,Германия,1949,1950,7600000,0.25,1900000.00
18,Мусоргский,,,https://www.kino-teatr.ru/kino/movie/sov/4108/annot/,,1950,1950,7400000,0.25,1850000.00
19,Женщина отправляется в путь,,,https://www.kino-teatr.ru/kino/movie/euro/90176/annot/,Венгрия,1949,1950,7300000,0.25,1825000.00
20,Побег из неволи,,,https://www.kino-teatr.ru/kino/movie/euro/79840/annot/,Болгария,1950,1950,7300000,0.25,1825000.00
21,Ротация,,,https://www.kino-teatr.ru/kino/movie/euro/80554/annot/,Германия,1949,1950,6800000,0.25,1700000.00
22,Жуковский,,,https://www.kino-teatr.ru/kino/movie/sov/8572/annot/,,1950,1950,6500000,0.25,1625000.00
23,Совет богов,,,https://www.kino-teatr.ru/kino/movie/euro/80578/annot/,ГДР,1950,1950,6100000,0.25,1525000.00
24,Тайное поручение,,,https://www.kino-teatr.ru/kino/movie/euro/172573/annot/,ГДР,1950,1950,5500000,0.25,1375000.00
25,Великая сила,,,https://www.kino-teatr.ru/kino/movie/sov/849/annot/,,1950,1950,5200000,0.25,1300000.00
26,Синий меч,,,https://www.kino-teatr.ru/kino/movie/euro/93542/annot/,Германия,1949,1950,5100000,0.25,1275000.00
27,Пёстроклетчатые,,,https://www.kino-teatr.ru/kino/movie/euro/81352/annot/,ГДР,1949,1950,4700000,0.25,1175000.00
28,Революционный 1848 год,,,https://www.kino-teatr.ru/kino/movie/euro/91062/annot/,Чехословакия,1949,1950,4600000,0.25,1150000.00
29,Анна Сабо,,,https://www.kino-teatr.ru/kino/movie/euro/79372/annot/,Венгрия,1949,1950,4600000,0.25,1150000.00
30,Хлеб наш насущный,,,https://www.kino-teatr.ru/kino/movie/euro/80577/annot/,Германия,1949,1950,4100000,0.25,1025000.00
31,Любовный напиток,,,https://www.kino-teatr.ru/kino/movie/euro/33311/annot/,Италия,1946,1950,3900000,0.25,975000.00
32,Два огня,,,https://www.kino-teatr.ru/kino/movie/euro/91017/annot/,Чехословакия,1950,1950,3700000,0.25,925000.00
33,Рассвет,,,https://www.kino-teatr.ru/kino/movie/euro/79611/annot/,Франция,1949,1950,3600000,0.25,900000.00
34,Девушка Араратской долины,,,https://www.kino-teatr.ru/kino/movie/sov/8857/annot/,,1949,1950,3400000,0.25,850000.00
35,Далеко от Москвы,,,https://www.kino-teatr.ru/kino/movie/sov/1575/annot/,,1950,1950,2500000,0.25,625000.00
1,В мирные дни,,,https://www.kino-teatr.ru/kino/movie/sov/737/annot/,,1950,1951,23500000,0.26,6110000.00
2,Тигр Акбар,,,https://www.kino-teatr.ru/kino/movie/euro/87166/annot/,Германия,1951,1951,23400000,0.26,6084000.00
3,Кавалер Золотой Звезды,,,https://www.kino-teatr.ru/kino/movie/sov/2808/annot/,,1950,1951,21500000,0.26,5590000.00
4,Щедрое лето,,,https://www.kino-teatr.ru/kino/movie/sov/8056/annot/,,1950,1951,20900000,0.26,5434000.00
5,Спортивная честь,,,https://www.kino-teatr.ru/kino/movie/sov/6714/annot/,,1951,1951,20300000,0.26,5278000.00
6,Донецкие шахтёры,,,https://www.kino-teatr.ru/kino/movie/sov/8384/annot/,,1950,1951,18900000,0.26,4914000.00
7,Тарас Шевченко,,,https://www.kino-teatr.ru/kino/movie/sov/7068/annot/,,1951,1951,18400000,0.26,4784000.00
8,Весна на льду,,,https://www.kino-teatr.ru/kino/movie/euro/83608/annot/,Австрия,1950,1951,17500000,0.26,4550000.00
9,Большой концерт,,,https://www.kino-teatr.ru/kino/movie/sov/10061/annot/,,1951,1951,16900000,0.26,4394000.00
10,Западня,,,https://www.kino-teatr.ru/kino/movie/euro/91576/annot/,Чехословакия,1950,1951,16100000,0.26,4186000.00
11,Штрафная площадка,,,https://www.kino-teatr.ru/kino/movie/euro/128112/annot/,Чехословакия,1950,1951,15100000,0.26,3926000.00
12,Да здравствует Вилья!,,,https://www.kino-teatr.ru/kino/movie/hollywood/21096/annot/,США,1934,1951,3900000,0.26,1014000.00
13,Мистер Дидс переезжает в город,,,https://www.kino-teatr.ru/kino/movie/hollywood/40192/annot/,США,1936,1951,2400000,0.26,624000.00
1,Тарзан: Человек-обезьяна,,,https://www.kino-teatr.ru/kino/movie/hollywood/34788/annot/,США,1932,1952,42900000,0.27,11583000.00
2,Спасение Тарзана,,,https://www.kino-teatr.ru/kino/movie/hollywood/34404/annot/,США,1936,1952,41300000,0.27,11151000.00
3,Приключение Тарзана в Нью-Йорке,,,https://www.kino-teatr.ru/kino/movie/hollywood/35492/annot/,США,1942,1952,39700000,0.27,10719000.00
4,Тарзан находит сына!,,,https://www.kino-teatr.ru/kino/movie/hollywood/25140/annot/,США,1939,1952,38600000,0.27,10422000.00
5,Незабываемый 1919 год,,,https://www.kino-teatr.ru/kino/movie/sov/4378/annot/,,1951,1952,31600000,0.27,8532000.00
6,Учитель танцев,,,https://www.kino-teatr.ru/kino/movie/sov/7511/annot/,,1952,1952,27900000,0.27,7533000.00
7,Живой труп,,,https://www.kino-teatr.ru/kino/movie/sov/9454/annot/,,1952,1952,27500000,0.27,7425000.00
8,Разлом,,,https://www.kino-teatr.ru/kino/movie/sov/5926/annot/,,1952,1952,24400000,0.27,6588000.00
9,Приключения Робин Гуда,,,https://www.kino-teatr.ru/kino/movie/hollywood/34932/annot/,США,1938,1952,22900000,0.27,6183000.00
10,"Правда - хорошо, а счастье - лучше",,,https://www.kino-teatr.ru/kino/movie/sov/5546/annot/,,1951,1952,22700000,0.27,6129000.00
11,На всякого мудреца довольно простоты,,,https://www.kino-teatr.ru/kino/movie/sov/9210/annot/,,1952,1952,20400000,0.27,5508000.00
12,Морской ястреб,,,https://www.kino-teatr.ru/kino/movie/hollywood/31183/annot/,США,1940,1952,20000000,0.27,5400000.00
13,Павлинка,,,https://www.kino-teatr.ru/kino/movie/sov/13467/annot/,,1952,1952,20000000,0.27,5400000.00
14,Дикая Бара,,,https://www.kino-teatr.ru/kino/movie/euro/43330/annot/,Чехословакия,1949,1952,19500000,0.27,5265000.00
15,Молодой Карузо,,,https://www.kino-teatr.ru/kino/movie/euro/42279/annot/,Италия,1951,1952,19100000,0.27,5157000.00
16,Сельский врач,,,https://www.kino-teatr.ru/kino/movie/sov/6332/annot/,,1951,1952,18600000,0.27,5022000.00
17,Под красной мантией,,,https://www.kino-teatr.ru/kino/movie/hollywood/55957/annot/,Великобритания,1937,1952,18300000,0.27,4941000.00
18,Ревизор,,,https://www.kino-teatr.ru/kino/movie/sov/5981/annot/,,1952,1952,17800000,0.27,4806000.00
19,Пржевальский,,,https://www.kino-teatr.ru/kino/movie/sov/5603/annot/,,1951,1952,15900000,0.27,4293000.00
20,Композитор Глинка,,,https://www.kino-teatr.ru/kino/movie/sov/3123/annot/,,1952,1952,15000000,0.27,4050000.00
21,"Майская ночь, или Утопленница",,,https://www.kino-teatr.ru/kino/movie/sov/3655/annot/,,1952,1952,15000000,0.27,4050000.00
1,Любовь Яровая,,,https://www.kino-teatr.ru/kino/movie/sov/3618/annot/,,1953,1953,46400000,0.27,12528000.00
2,Свадьба с приданым,,,https://www.kino-teatr.ru/kino/movie/sov/6225/annot/,,1953,1953,45400000,0.27,12258000.00
3,Застава в горах,,,https://www.kino-teatr.ru/kino/movie/sov/2403/annot/,,1953,1953,44800000,0.27,12096000.00
4,Анна Каренина,,,https://www.kino-teatr.ru/kino/movie/sov/248/annot/,,1953,1953,34700000,0.27,9369000.00
5,Максимка,,,https://www.kino-teatr.ru/kino/movie/sov/3663/annot/,,1952,1953,32900000,0.27,8883000.00
6,Звезда,,,https://www.kino-teatr.ru/kino/movie/sov/2422/annot/,,1949,1953,28900000,0.27,7803000.00
7,Садко,,,https://www.kino-teatr.ru/kino/movie/sov/6164/annot/,,1952,1953,27300000,0.27,7371000.00
8,Пармская обитель,,,https://www.kino-teatr.ru/kino/movie/euro/18364/annot/,Франция,1948,1953,26600000,0.27,7182000.00
9,Корабли штурмуют бастионы,,,https://www.kino-teatr.ru/kino/movie/sov/3170/annot/,,1953,1953,26000000,0.27,7020000.00
10,Адмирал Ушаков,,,https://www.kino-teatr.ru/kino/movie/sov/140/annot/,,1953,1953,26000000,0.27,7020000.00
11,Горячее сердце,,,https://www.kino-teatr.ru/kino/movie/sov/8391/annot/,,1953,1953,25400000,0.27,6858000.00
12,Мой маленький друг,,,https://www.kino-teatr.ru/kino/movie/euro/85926/annot/,Австрия,1951,1953,21700000,0.27,5859000.00
13,Слуга двух господ,,,https://www.kino-teatr.ru/kino/movie/sov/9706/annot/,,1953,1953,21600000,0.27,5832000.00
14,Одиссея Капитана Блада,,,https://www.kino-teatr.ru/kino/movie/hollywood/26298/annot/,США,1935,1953,21300000,0.27,5751000.00
15,Возвращение Василия Бортникова,,,https://www.kino-teatr.ru/kino/movie/sov/1032/annot/,,1953,1953,20900000,0.27,5643000.00
16,Волки и овцы,,,https://www.kino-teatr.ru/kino/movie/sov/1074/annot/,,1952,1953,20700000,0.27,5589000.00
17,Рюи Блаз,,,https://www.kino-teatr.ru/kino/movie/euro/23852/annot/,Франция,1947,1953,20300000,0.27,5481000.00
18,Честь товарища,,,https://www.kino-teatr.ru/kino/movie/sov/8971/annot/,,1953,1953,20000000,0.27,5400000.00
19,Арена смелых,,,https://www.kino-teatr.ru/kino/movie/sov/10063/annot/,,1953,1953,18500000,0.27,4995000.00
20,Весна в Москве,,,https://www.kino-teatr.ru/kino/movie/sov/8359/annot/,,1953,1953,18200000,0.27,4914000.00
21,Похищение,,,https://www.kino-teatr.ru/kino/movie/euro/87951/annot/,Чехословакия,1952,1953,16400000,0.27,4428000.00
22,Дочь полка,,,https://www.kino-teatr.ru/kino/movie/euro/86754/annot/,Австрия,1952,1953,15700000,0.27,4239000.00
23,Римский-Корсаков,,,https://www.kino-teatr.ru/kino/movie/sov/6006/annot/,,1953,1953,8600000,0.27,2322000.00
24,Белинский,,,https://www.kino-teatr.ru/kino/movie/sov/470/annot/,,1951,1953,5800000,0.27,1566000.00
1,Бродяга,,,https://www.kino-teatr.ru/kino/movie/asia/36035/annot/,Индия,1951,1954,63700000,0.28,17836000.00
2,Судьба Марины,,,https://www.kino-teatr.ru/kino/movie/sov/6874/annot/,,1953,1954,37900000,0.28,10612000.00
3,Анна на шее,,,https://www.kino-teatr.ru/kino/movie/sov/250/annot/,,1954,1954,31900000,0.28,8932000.00
4,Испытание верности,,,https://www.kino-teatr.ru/kino/movie/sov/2760/annot/,,1954,1954,31900000,0.28,8932000.00
5,Весёлые звёзды,,,https://www.kino-teatr.ru/kino/movie/sov/9186/annot/,,1954,1954,31500000,0.28,8820000.00
6,Мы с вами где-то встречались,,,https://www.kino-teatr.ru/kino/movie/sov/4122/annot/,,1954,1954,31500000,0.28,8820000.00
7,Верные друзья,,,https://www.kino-teatr.ru/kino/movie/sov/875/annot/,,1954,1954,30900000,0.28,8652000.00
8,Запасной игрок,,,https://www.kino-teatr.ru/kino/movie/sov/2383/annot/,,1954,1954,29200000,0.28,8176000.00
9,Командир корабля,,,https://www.kino-teatr.ru/kino/movie/sov/3096/annot/,,1954,1954,28300000,0.28,7924000.00
10,Кортик,,,https://www.kino-teatr.ru/kino/movie/sov/3198/annot/,,1954,1954,27600000,0.28,7728000.00
11,Школа мужества,,,https://www.kino-teatr.ru/kino/movie/sov/8004/annot/,,1954,1954,27200000,0.28,7616000.00
12,Стрекоза,,,https://www.kino-teatr.ru/kino/movie/sov/6841/annot/,,1954,1954,26900000,0.28,7532000.00
13,Большая семья,,,https://www.kino-teatr.ru/kino/movie/sov/601/annot/,,1954,1954,26000000,0.28,7280000.00
14,Калиновая роща,,,https://www.kino-teatr.ru/kino/movie/sov/2878/annot/,,1953,1954,25700000,0.28,7196000.00
15,Об этом забывать нельзя,,,https://www.kino-teatr.ru/kino/movie/sov/4595/annot/,,1954,1954,25000000,0.28,7000000.00
16,Дети партизана,,,https://www.kino-teatr.ru/kino/movie/sov/1797/annot/,,1954,1954,25000000,0.28,7000000.00
17,Великий воин Албании Скандербег,,,https://www.kino-teatr.ru/kino/movie/euro/8429/annot/,СССР,1953,1954,24000000,0.28,6720000.00
18,Всё началось с Евы,,,https://www.kino-teatr.ru/kino/movie/hollywood/33263/annot/,США,1941,1954,21600000,0.28,6048000.00
19,Аттестат зрелости,,,https://www.kino-teatr.ru/kino/movie/sov/312/annot/,,1954,1954,18000000,0.28,5040000.00
20,«Богатырь» идет в Марто,,,https://www.kino-teatr.ru/kino/movie/sov/576/annot/,,1954,1954,17000000,0.28,4760000.00
21,Таинственная находка,,,https://www.kino-teatr.ru/kino/movie/sov/8819/annot/,,1953,1954,13000000,0.28,3640000.00
22,Огни на реке,,,https://www.kino-teatr.ru/kino/movie/sov/8579/annot/,,1953,1954,13000000,0.28,3640000.00
23,Мастера русского балета,,,https://www.kino-teatr.ru/kino/movie/sov/10057/annot/,,1953,1954,11000000,0.28,3080000.00
24,Алеко,,,https://www.kino-teatr.ru/kino/movie/sov/172/annot/,,1953,1954,11000000,0.28,3080000.00
1,Солдат Иван Бровкин,,,https://www.kino-teatr.ru/kino/movie/sov/6620/annot/,,1955,1955,40300000,0.28,11284000.00
2,Укротительница тигров,,,https://www.kino-teatr.ru/kino/movie/sov/7439/annot/,,1954,1955,36700000,0.28,10276000.00
3,Овод,,,https://www.kino-teatr.ru/kino/movie/sov/4645/annot/,,1955,1955,35200000,0.28,9856000.00
4,Педагогическая поэма,,,https://www.kino-teatr.ru/kino/movie/sov/5022/annot/,,1955,1955,32300000,0.28,9044000.00
5,Возраст любви,,,https://www.kino-teatr.ru/kino/movie/latin/27370/annot/,Аргентина,1954,1955,31100000,0.28,8708000.00
6,Доброе утро,,,https://www.kino-teatr.ru/kino/movie/sov/1899/annot/,,1955,1955,30600000,0.28,8568000.00
7,Двенадцатая ночь,,,https://www.kino-teatr.ru/kino/movie/sov/1657/annot/,,1955,1955,29800000,0.28,8344000.00
8,Тень у пирса,,,https://www.kino-teatr.ru/kino/movie/sov/7124/annot/,,1955,1955,29400000,0.28,8232000.00
9,Неоконченная повесть,,,https://www.kino-teatr.ru/kino/movie/sov/4413/annot/,,1955,1955,29300000,0.28,8204000.00
10,Опасные тропы,,,https://www.kino-teatr.ru/kino/movie/sov/4762/annot/,,1954,1955,29200000,0.28,8176000.00
11,Следы на снегу,,,https://www.kino-teatr.ru/kino/movie/sov/6509/annot/,,1955,1955,28800000,0.28,8064000.00
12,Чемпион мира,,,https://www.kino-teatr.ru/kino/movie/sov/7804/annot/,,1954,1955,27900000,0.28,7812000.00
13,Девушка-джигит,,,https://www.kino-teatr.ru/kino/movie/sov/8629/annot/,,1955,1955,27800000,0.28,7784000.00
14,Мост Ватерлоо,,,https://www.kino-teatr.ru/kino/movie/hollywood/23996/annot/,США,1940,1955,26600000,0.28,7448000.00
15,Звёзды на крыльях,,,https://www.kino-teatr.ru/kino/movie/sov/2441/annot/,,1955,1955,25500000,0.28,7140000.00
16,Море студёное,,,https://www.kino-teatr.ru/kino/movie/sov/3997/annot/,,1954,1955,25200000,0.28,7056000.00
17,Урок жизни,,,https://www.kino-teatr.ru/kino/movie/sov/7473/annot/,,1955,1955,25100000,0.28,7028000.00
18,Дорога,,,https://www.kino-teatr.ru/kino/movie/sov/1983/annot/,,1955,1955,25100000,0.28,7028000.00
19,Красное и чёрное,,,https://www.kino-teatr.ru/kino/movie/euro/25011/annot/,Франция,1954,1955,24800000,0.28,6944000.00
20,Герои Шипки,,,https://www.kino-teatr.ru/kino/movie/euro/8362/annot/,СССР,1954,1955,24500000,0.28,6860000.00
21,Тревожная молодость,,,https://www.kino-teatr.ru/kino/movie/sov/7221/annot/,,1954,1955,24400000,0.28,6832000.00
22,Случай с ефрейтором Кочетковым,,,https://www.kino-teatr.ru/kino/movie/sov/6540/annot/,,1955,1955,23900000,0.28,6692000.00
23,Весенние заморозки,,,https://www.kino-teatr.ru/kino/movie/sov/14828/annot/,,1955,1955,23600000,0.28,6608000.00
24,Княжна Мери,,,https://www.kino-teatr.ru/kino/movie/sov/3023/annot/,,1955,1955,22100000,0.28,6188000.00
25,Милый друг (I),,,https://www.kino-teatr.ru/kino/movie/euro/82650/annot/,Франция,1954,1955,21600000,0.28,6048000.00
26,Васёк Трубачёв и его товарищи,,,https://www.kino-teatr.ru/kino/movie/sov/820/annot/,,1955,1955,20000000,0.28,5600000.00
27,Михайло Ломоносов,,,https://www.kino-teatr.ru/kino/movie/sov/3918/annot/,,1955,1955,19500000,0.28,5460000.00
28,К новому берегу,,,https://www.kino-teatr.ru/kino/movie/sov/8967/annot/,,1955,1955,19000000,0.28,5320000.00
29,Попрыгунья,,,https://www.kino-teatr.ru/kino/movie/sov/5397/annot/,,1955,1955,19000000,0.28,5320000.00
30,Борис Годунов,,,https://www.kino-teatr.ru/kino/movie/sov/12433/annot/,,1954,1955,13000000,0.28,3640000.00
31,Ромео и Джульетта,,,https://www.kino-teatr.ru/kino/movie/sov/12187/annot/,,1954,1955,9500000,0.28,2660000.00
32,Золотые яблоки,,,https://www.kino-teatr.ru/kino/movie/sov/10199/annot/,,1954,1955,4500000,0.28,1260000.00
1,Карнавальная ночь,,,https://www.kino-teatr.ru/kino/movie/sov/2937/annot/,,1956,1956,48600000,0.29,14094000.00
2,Господин 420,,,https://www.kino-teatr.ru/kino/movie/asia/21599/annot/,Индия,1955,1956,34300000,0.29,9947000.00
3,Дело № 306,,,https://www.kino-teatr.ru/kino/movie/sov/1725/annot/,,1956,1956,33500000,0.29,9715000.00
4,Два капитана,,,https://www.kino-teatr.ru/kino/movie/sov/1628/annot/,,1955,1956,32000000,0.29,9280000.00
5,Дело Румянцева,,,https://www.kino-teatr.ru/kino/movie/sov/1728/annot/,,1955,1956,31800000,0.29,9222000.00
6,Утраченные грёзы,,,https://www.kino-teatr.ru/kino/movie/euro/31189/annot/,Италия,1953,1956,30700000,0.29,8903000.00
7,Разные судьбы,,,https://www.kino-teatr.ru/kino/movie/sov/5929/annot/,,1956,1956,30700000,0.29,8903000.00
8,Весна на Заречной улице,,,https://www.kino-teatr.ru/kino/movie/sov/909/annot/,,1956,1956,30100000,0.29,8729000.00
9,Бессмертный гарнизон,,,https://www.kino-teatr.ru/kino/movie/sov/529/annot/,,1956,1956,29700000,0.29,8613000.00
10,Сын,,,https://www.kino-teatr.ru/kino/movie/sov/6928/annot/,,1955,1956,28700000,0.29,8323000.00
11,Вольница,,,https://www.kino-teatr.ru/kino/movie/sov/1107/annot/,,1955,1956,28200000,0.29,8178000.00
12,Максим Перепелица,,,https://www.kino-teatr.ru/kino/movie/sov/3661/annot/,,1955,1956,27850000,0.29,8076500.00
13,Капитан «Старой черепахи»,,,https://www.kino-teatr.ru/kino/movie/sov/2909/annot/,,1956,1956,27650000,0.29,8018500.00
14,Убийство на улице Данте,,,https://www.kino-teatr.ru/kino/movie/sov/7383/annot/,,1956,1956,27400000,0.29,7946000.00
15,Человек родился,,,https://www.kino-teatr.ru/kino/movie/sov/7758/annot/,,1956,1956,27200000,0.29,7888000.00
16,Медовый месяц,,,https://www.kino-teatr.ru/kino/movie/sov/3798/annot/,,1956,1956,26500000,0.29,7685000.00
17,Судьба барабанщика,,,https://www.kino-teatr.ru/kino/movie/sov/6872/annot/,,1955,1956,25700000,0.29,7453000.00
18,В квадрате 45,,,https://www.kino-teatr.ru/kino/movie/sov/729/annot/,,1955,1956,25600000,0.29,7424000.00
19,Сорок первый,,,https://www.kino-teatr.ru/kino/movie/sov/6672/annot/,,1956,1956,25100000,0.29,7279000.00
20,За витриной универмага,,,https://www.kino-teatr.ru/kino/movie/sov/2286/annot/,,1955,1956,25000000,0.29,7250000.00
21,Чужая родня,,,https://www.kino-teatr.ru/kino/movie/sov/7941/annot/,,1955,1956,24900000,0.29,7221000.00
22,Крутые Горки,,,https://www.kino-teatr.ru/kino/movie/sov/3320/annot/,,1956,1956,24400000,0.29,7076000.00
23,Земля и люди,,,https://www.kino-teatr.ru/kino/movie/sov/2474/annot/,,1955,1956,24200000,0.29,7018000.00
24,Отелло,,,https://www.kino-teatr.ru/kino/movie/sov/4866/annot/,,1955,1956,24100000,0.29,6989000.00
25,Матрос Чижик,,,https://www.kino-teatr.ru/kino/movie/sov/3761/annot/,,1955,1956,23200000,0.29,6728000.00
26,Есть такой парень,,,https://www.kino-teatr.ru/kino/movie/sov/2134/annot/,,1956,1956,22300000,0.29,6467000.00
27,Илья Муромец,,,https://www.kino-teatr.ru/kino/movie/sov/2696/annot/,,1956,1956,20000000,0.29,5800000.00
28,Мексиканец,,,https://www.kino-teatr.ru/kino/movie/sov/3806/annot/,,1955,1956,19000000,0.29,5510000.00
29,Тайна вечной ночи,,,https://www.kino-teatr.ru/kino/movie/sov/8527/annot/,,1955,1956,18000000,0.29,5220000.00
30,Гость с Кубани,,,https://www.kino-teatr.ru/kino/movie/sov/1492/annot/,,1955,1956,18000000,0.29,5220000.00
31,Они были первыми,,,https://www.kino-teatr.ru/kino/movie/sov/4747/annot/,,1956,1956,16000000,0.29,4640000.00
1,Хождение по мукам,,,https://www.kino-teatr.ru/kino/movie/sov/84630/annot/,,1957,1957,42500000,0.29,12325000.00
2,Тихий Дон,,,https://www.kino-teatr.ru/kino/movie/sov/7157/annot/,,1957,1957,42400000,0.29,12296000.00
3,Старик Хоттабыч,,,https://www.kino-teatr.ru/kino/movie/sov/6754/annot/,,1956,1957,40000000,0.29,11600000.00
4,Ночной патруль,,,https://www.kino-teatr.ru/kino/movie/sov/4543/annot/,,1957,1957,36400000,0.29,10556000.00
5,Без вести пропавший,,,https://www.kino-teatr.ru/kino/movie/sov/422/annot/,,1956,1957,35700000,0.29,10353000.00
6,Фанфан-Тюльпан,,,https://www.kino-teatr.ru/kino/movie/euro/32088/annot/,Франция-Италия,1951,1957,33000000,0.29,9570000.00
7,Тайна двух океанов,,,https://www.kino-teatr.ru/kino/movie/sov/6975/annot/,1955,1956,1957,31200000,0.29,9048000.00
8,Заноза,,,https://www.kino-teatr.ru/kino/movie/sov/2378/annot/,,1956,1957,29300000,0.29,8497000.00
9,В добрый час!,,,https://www.kino-teatr.ru/kino/movie/sov/724/annot/,,1956,1957,29100000,0.29,8439000.00
10,"Дом, в котором я живу",,,https://www.kino-teatr.ru/kino/movie/sov/1963/annot/,,1957,1957,28900000,0.29,8381000.00
11,Летят журавли,,,https://www.kino-teatr.ru/kino/movie/sov/3480/annot/,,1957,1957,28300000,0.29,8207000.00
12,Екатерина Воронина,,,https://www.kino-teatr.ru/kino/movie/sov/2109/annot/,,1957,1957,27800000,0.29,8062000.00
13,Наши соседи,,,https://www.kino-teatr.ru/kino/movie/sov/4296/annot/,,1957,1957,26900000,0.29,7801000.00
14,Огненные вёрсты,,,https://www.kino-teatr.ru/kino/movie/sov/4654/annot/,,1957,1957,26100000,0.29,7569000.00
15,Моя бедная любимая мать,,,https://www.kino-teatr.ru/kino/movie/latin/56104/annot/,Аргентина,1948,1957,25900000,0.29,7511000.00
16,Павел Корчагин,,,https://www.kino-teatr.ru/kino/movie/sov/4952/annot/,,1956,1957,25300000,0.29,7337000.00
17,Я встретил девушку,,,https://www.kino-teatr.ru/kino/movie/sov/13831/annot/,,1957,1957,25000000,0.29,7250000.00
18,Высота,,,https://www.kino-teatr.ru/kino/movie/sov/1308/annot/,,1957,1957,24600000,0.29,7134000.00
19,Повесть о первой любви,,,https://www.kino-teatr.ru/kino/movie/sov/5222/annot/,,1957,1957,24400000,0.29,7076000.00
20,Неповторимая весна,,,https://www.kino-teatr.ru/kino/movie/sov/4420/annot/,,1957,1957,24100000,0.29,6989000.00
21,Судьба женщины,,,https://www.kino-teatr.ru/kino/movie/sov/14498/annot/,,1957,1957,22600000,0.29,6554000.00
22,Борец и клоун,,,https://www.kino-teatr.ru/kino/movie/sov/618/annot/,,1957,1957,22100000,0.29,6409000.00
23,Необыкновенное лето,,,https://www.kino-teatr.ru/kino/movie/sov/4409/annot/,,1956,1957,21900000,0.29,6351000.00
24,Она Вас любит,,,https://www.kino-teatr.ru/kino/movie/sov/4743/annot/,,1956,1957,21400000,0.29,6206000.00
25,Поддубенские частушки,,,https://www.kino-teatr.ru/kino/movie/sov/5271/annot/,,1957,1957,20900000,0.29,6061000.00
26,Ханка,,,https://www.kino-teatr.ru/kino/movie/euro/93647/annot/,Югославия,1955,1957,20500000,0.29,5945000.00
27,Вихри враждебные,,,https://www.kino-teatr.ru/kino/movie/sov/972/annot/,,1953,1957,20000000,0.29,5800000.00
28,Гуттаперчевый мальчик,,,https://www.kino-teatr.ru/kino/movie/sov/1555/annot/,,1957,1957,20000000,0.29,5800000.00
29,Мальва,,,https://www.kino-teatr.ru/kino/movie/sov/3685/annot/,,1956,1957,20000000,0.29,5800000.00
30,Отряд Трубачёва сражается,,,https://www.kino-teatr.ru/kino/movie/sov/4898/annot/,,1957,1957,20000000,0.29,5800000.00
1,ЧП. Чрезвычайное происшествие,,,https://www.kino-teatr.ru/kino/movie/sov/7907/annot/,,1958,1958,47400000,0.30,14220000.00
2,Над Тиссой,,,https://www.kino-teatr.ru/kino/movie/sov/4220/annot/,,1958,1958,45700000,0.30,13710000.00
3,Девушка без адреса,,,https://www.kino-teatr.ru/kino/movie/sov/1690/annot/,,1957,1958,36500000,0.30,10950000.00
4,Улица полна неожиданностей,,,https://www.kino-teatr.ru/kino/movie/sov/7448/annot/,,1957,1958,34300000,0.30,10290000.00
5,Дело «пёстрых»,,,https://www.kino-teatr.ru/kino/movie/sov/1718/annot/,,1958,1958,33700000,0.30,10110000.00
