rank,name_russian,name_english,name_original,film_url,country,production_year,soviet_release_year,viewers_total,avg_ticket_price_rub,box_office_rubles
15,Соло для слона с оркестром,,,https://www.kino-teatr.ru/kino/movie/sov/6652/annot/,СССР,1975,1976,24800000,0.46,11408000.00
16,Это мы не проходили...,,,https://www.kino-teatr.ru/kino/movie/sov/8112/annot/,,1975,1976,24100000,0.46,11086000.00
17,Возвращение Белого Клыка,,,https://www.kino-teatr.ru/kino/movie/euro/53796/annot/,Италия,1974,1976,23900000,0.46,10994000.00
18,Никаких проблем!,,,https://www.kino-teatr.ru/kino/movie/euro/44040/annot/,Франция,1975,1976,22600000,0.46,10396000.00
19,Алмазы для Марии,,,https://www.kino-teatr.ru/kino/movie/sov/193/annot/,,1975,1976,22200000,0.46,10212000.00
20,Возвращение высокого блондина,,,https://www.kino-teatr.ru/kino/movie/euro/22313/annot/,Франция,1974,1976,21500000,0.46,9890000.00
21,Ответ знает только ветер,,,https://www.kino-teatr.ru/kino/movie/euro/55930/annot/,ФРГ,1974,1976,20700000,0.46,9522000.00
22,Сын председателя,,,https://www.kino-teatr.ru/kino/movie/sov/6935/annot/,,1976,1976,20200000,0.46,9292000.00
23,Победитель,,,https://www.kino-teatr.ru/kino/movie/sov/5206/annot/,,1975,1976,20200000,0.46,9292000.00
24,Трын-трава,,,https://www.kino-teatr.ru/kino/movie/sov/7312/annot/,,1976,1976,20200000,0.46,9292000.00
25,Повторная свадьба,,,https://www.kino-teatr.ru/kino/movie/sov/5234/annot/,,1975,1976,19600000,0.46,9016000.00
26,Когда тебя нет,,,https://www.kino-teatr.ru/kino/movie/euro/49698/annot/,Испания,1966,1976,18900000,0.46,8694000.00
27,Бриллианты для диктатуры пролетариата,,,https://www.kino-teatr.ru/kino/movie/sov/651/annot/,,1975,1976,18700000,0.46,8602000.00
28,Вокруг света за 80 дней,,,https://www.kino-teatr.ru/kino/movie/hollywood/26048/annot/,Великобритания,1956,1976,18400000,0.46,8464000.00
29,В пустыне и джунглях,,,https://www.kino-teatr.ru/kino/movie/euro/26994/annot/,Польша,1973,1976,18300000,0.46,8418000.00
30,Анна и Командор,,,https://www.kino-teatr.ru/kino/movie/sov/243/annot/,,1974,1976,18100000,0.46,8326000.00
31,Ключи от рая,,,https://www.kino-teatr.ru/kino/movie/sov/3014/annot/,,1975,1976,17900000,0.46,8234000.00
32,Тайна яхты «Айвенго»,,,https://www.kino-teatr.ru/kino/movie/euro/94183/annot/,Греция,1975,1976,17600000,0.46,8096000.00
